AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"STORCK, Abraham","(b. 1644, Amsterdam, d. 1708, Amsterdam)",Shipping,1690s,Oil on canvas,"National Gallery of Ireland, Dublin",https://www.wga.hu/html/s/storck/abraham/shipping.html,painting,landscape,Dutch,1651-1700
"STORCK, Jacobus","(b. 1641, Amsterdam, d. 1688, Amsterdam)",View of a Harbour,-,"Oil on panel, 65 x 98 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/s/storck/jacobus/harbour.html,painting,landscape,Dutch,1651-1700
"STORCK, Jacobus","(b. 1641, Amsterdam, d. 1688, Amsterdam)",Capriccio View of Haarlem,-,"Oil on canvas, 66 x 90",Private collection,https://www.wga.hu/html/s/storck/jacobus/imaginar.html,painting,landscape,Dutch,1651-1700
"STORCK, Jacobus","(b. 1641, Amsterdam, d. 1688, Amsterdam)",River Landscape,-,"Oil on canvas, 66 x 97 cm",Private collection,https://www.wga.hu/html/s/storck/jacobus/river_la.html,painting,landscape,Dutch,1651-1700
"STORCK, Jacobus","(b. 1641, Amsterdam, d. 1688, Amsterdam)",Riverlandscape with a Town in the Background,-,"Oil on panel, 52 x 74 cm",Private collection,https://www.wga.hu/html/s/storck/jacobus/riverlan.html,painting,landscape,Dutch,1651-1700
"STRADANUS, Johannes","(b. 1523, Brugge, d. 1605, Firenze)",Night assault on a city,-,"Pen and brown ink, with brown wash, heightened with white, on two sheets of blue paper overlaid, 260 x 423 mm","British Museum, London",https://www.wga.hu/html/s/stradanu/assault.html,graphics,landscape,Flemish,1551-1600
"STRADANUS, Johannes","(b. 1523, Brugge, d. 1605, Firenze)",Night assault on a city (detail),-,"Pen and brown ink, with brown wash, heightened with white, on two sheets of blue paper overlaid","British Museum, London",https://www.wga.hu/html/s/stradanu/assault1.html,graphics,landscape,Flemish,1551-1600
"STRANOVER, Tobias","(b. 1684, Nagyszeben, d. after 1731, London)",Birds in a Landscape,1728,"Oil on canvas, 147 x 188 cm",Private collection,https://www.wga.hu/html/s/stranove/birds.html,painting,landscape,Other,1701-1750
"STRANOVER, Tobias","(b. 1684, Nagyszeben, d. after 1731, London)","A Monkey, a Dog and Various Birds in a Landscape",-,"Oil on canvas, 153 x 140 cm",Private collection,https://www.wga.hu/html/s/stranove/monkeydo.html,painting,landscape,Other,1701-1750
"STRANOVER, Tobias","(b. 1684, Nagyszeben, d. after 1731, London)",Parkland Setting with Birds,-,"Oil on canvas, 77 x 122 cm",Private collection,https://www.wga.hu/html/s/stranove/parkland.html,painting,landscape,Other,1701-1750
"STRANOVER, Tobias","(b. 1684, Nagyszeben, d. after 1731, London)",Parrots in an Extensive Woodland Landscape,-,"Oil on canvas, 135 x 120 cm",Private collection,https://www.wga.hu/html/s/stranove/parrots.html,painting,landscape,Other,1701-1750
"STRANOVER, Tobias","(b. 1684, Nagyszeben, d. after 1731, London)",Parrots in an Extensive Woodland Landscape (detail),-,Oil on canvas,Private collection,https://www.wga.hu/html/s/stranove/parrots1.html,painting,landscape,Other,1701-1750
"STRIJ, Abraham van, I","(b. 1753, Dordrecht, d. 1826, Dordrecht)",An Extensive River Landscape,-,"Oil on canvas, 211 x 189 cm",Private collection,https://www.wga.hu/html/s/strij/abraham/river_la.html,painting,landscape,Dutch,1751-1800
"STRIJ, Abraham van, I","(b. 1753, Dordrecht, d. 1826, Dordrecht)",A Winter Scene,-,"Oil on panel, 61 x 55 cm",Private collection,https://www.wga.hu/html/s/strij/abraham/wintersc.html,painting,landscape,Dutch,1751-1800
"STRIJ, Jacob van","(b. 1756, Dordrecht, d. 1815, Dordrecht)",Autumn Landscape,-,"Oil on canvas, 229 x 210 cm",Private collection,https://www.wga.hu/html/s/strij/jacob/autumnla.html,painting,landscape,Dutch,1751-1800
"STRIJ, Jacob van","(b. 1756, Dordrecht, d. 1815, Dordrecht)",Two Boeiers and a Cat under Sail,-,"Oil on canvas, 212 x 189 cm",Private collection,https://www.wga.hu/html/s/strij/jacob/boeiers.html,painting,landscape,Dutch,1751-1800
"STRIJ, Jacob van","(b. 1756, Dordrecht, d. 1815, Dordrecht)",Cattle and a Donkey in a Landscape,-,"Oil on panel, 50 x 60 cm",Private collection,https://www.wga.hu/html/s/strij/jacob/cattle.html,painting,landscape,Dutch,1751-1800
"STRIJ, Jacob van","(b. 1756, Dordrecht, d. 1815, Dordrecht)",Wooded Landscape with Resting Cattle,-,"Oil on canvas, 75 x 95 cm",Private collection,https://www.wga.hu/html/s/strij/jacob/landscap.html,painting,landscape,Dutch,1751-1800
"STRIJ, Jacob van","(b. 1756, Dordrecht, d. 1815, Dordrecht)",Landscape with Cattle,-,"Oil on wood, 80 x 107 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/s/strij/jacob/landscat.html,painting,landscape,Dutch,1751-1800
